Ноутбук Asus X540UB Intel Core i3-7020U 6GB DDR4 1000GB HDD DVDRW FHD DOS серебристый,42330
Ноутбук Asus X509JA Intel Core i3-1005G1 8GB DDR4 500GB HDD FHD DOS Grey,44310
Ноутбук Asus X540UB Intel Core i3-7020U 4GB DDR 240Gb SSD Nvidia Geforce MX110 2GB Full HD,47150
Ноутбук Asus X540UB Intel Core i3-7020U 8GB DDR4 1000GB HDD DVDRW FHD DOS серебристый,44230
Ноутбук Asus X509JA Intel Core i3-1005G1 8GB DDR4 500GB HDD FHD W10 Grey,50070
Ноутбук Asus X540UB Intel Core i3-7020U 4GB DDR4 120GB SSD DVDRW FHD DOS серебристый,41130
Ноутбук Asus X509JA Intel Core i3-1005G1 4GB DDR4 1000GB HDD FHD W10 Grey,48610
Ноутбук Asus X540UB Intel Core i3-7020U 4GB DDR 500Gb HDD Nvidia Geforce MX110 2GB Full HD,45340
Ноутбук Asus X540UB Intel Core i3-7020U 6GB DDR4 120GB SSD DVDRW FHD DOS серебристый,42500
Ноутбук Asus X509JA Intel Core i3-1005G1 8GB DDR4 1000GB HDD FHD DOS Grey,44390
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 500GB HDD NVIDIA MX330 FHD DOS Black,46620
Ноутбук HP Pavilion x360 14m-dw0023dx Intel Core i5-1035G1 8GB DDR4 256GB SSD FHD W10 Gold,
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black,
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 Grey,37000
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS Black,44650
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black,
Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 512GB SSD FHD DOS Grey,37080
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS Black,45160
Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 Black,
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black,
Ноутбук Dell XPS 7390-7019 Intel Core i7-1065G7 8GB LPDDR4 256GB SSD FHD W10 Silver,
Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 512GB SSD FHD DOS Grey,39230
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS Black,45850
Ноутбук Asus X509JA Intel Core i7-1065G7 8GB DDR4 256GB SSD FHD W10 Slate Gray,
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black,
Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1660 FHD DOS Grey,
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD DOS Black,45590
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black,
Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey,
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD DOS Black,46280
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black,
Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey,
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 128GB SSD NVIDIA MX230 DOS Black,49970
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 12GB DDR4 128GB SSD FHD DOS BL серебристый,
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD Nvidia Geforce MX230 2GB HD черный,47740
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD FHD DOS Black,49040
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS Black,40350
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 256GB SSD NVIDIA MX230 DOS Black,50830
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 16GB DDR4 128GB SSD FHD DOS BL серебристый,
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 256GB SSD Nvidia Geforce MX230 2GB HD черный,48690
Ноутбук Acer Extensa EX215-52-34U4 Intel Core i3-1005G1 4GB DDR4 128GB SSD FHD DOS Black,41210
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 512GB SSD FHD DOS Black,51600
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 1000GB HDD DOS Black,42330
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 512GB SSD NVIDIA MX230 DOS Black,53840
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 4GB DDR4 256GB SSD FHD DOS BL серебристый,
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 512GB SSD Nvidia Geforce MX230 2GB HD черный,51700
Ноутбук Acer Extensa EX215-52-37SE Intel Core i3-1005G1 4GB DDR4 500GB HDD FHD DOS Black,41130
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 8GB DDR4 1000GB HDD NVIDIA MX330 FHD DOS Black,
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 128GB SSD DOS Black,40350
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 4GB DDR4 512GB SSD NVIDIA MX230 DOS Black,49540
Ноутбук Dell Inspiron 14 5485 AMD Ryzen 7 3700U 8GB DDR4 512GB SSD AMD Radeon RX Vega 10 FHD серебристый,
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 8GB DDR4 256GB SSD FHD DOS BL серебристый,
Ноутбук MSI Thin Intel Core i5-9300H 8GB DDR4 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черный,
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный,
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-1035G1 12GB DDR 1000GB HDD Intel HD Graphics 620 FHD DOS серебристый,55310
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный,
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-1035G1 12GB DDR 256GB SSD Intel HD Graphics 620 FHD DOS серебристый,57620
Ноутбук Lenovo ThinkPad T14 Intel Core i7-10510U 16GB DDR4 512GB SSD Intel UHD Graphics 620 FHD черный,
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-1035G1 12GB DDR 512GB SSD Intel HD Graphics 620 FHD DOS серебристый,
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный,
